date,Strategy,IQ Hedge Multi-Strategy Tracker ETF (QAI),MSCI World Index
2018-05-31,1.0,1.0,1.0
2018-06-30,1.020099325204689,1.0033017182335249,1.0074381318922367
2018-07-31,1.009646227968471,1.012216729698342,1.036592418290227
2018-08-31,1.0685472326038081,1.0148558708793671,1.0426944782339922
2018-09-30,1.0224482533328825,1.0141970161698586,1.045426446248031
2018-10-31,1.0192835719963655,0.9861342723563926,0.9662990807027337
2018-11-30,1.0158238922140679,0.9887734135374179,0.9788422039204738
2018-12-31,1.0111618337685473,0.9715910782883189,0.9086485731948072
2019-01-31,1.0281900260056496,0.9985073404603798,0.9794572785014859
2019-02-28,1.0243927515371116,1.0072548464905755,1.003964149473581
2019-03-31,1.0357232753571994,1.011628599505673,1.0140739815182127
2019-04-30,1.0224482533328831,1.0183548732914445,1.0465570513420872
2019-05-31,1.0992190789783254,1.0052336142461509,0.9813117447345244
2019-06-30,1.0426859203994077,1.023402370388017,1.0437653817439638
2019-07-31,1.0873026541350952,1.0220548822250672,1.0455799669827435
2019-08-31,1.3405768413617007,1.0190286173729184,1.0187201173493736
2019-09-30,1.252197490018805,1.0234023703880164,1.038201983044847
2019-10-31,1.250445640026436,1.0331586313689292,1.065640107094971
2019-11-30,1.305387589323887,1.0382061284655015,1.0901469780670658
2019-12-31,1.4759472683343784,1.0559356481343616,1.1271166597450673
2020-01-31,1.6227139082732451,1.0497640034543345,1.1139160506453707
2020-02-29,1.700802161787881,1.0343348917542656,1.0224689308097106
2020-03-31,2.2155484940116303,0.9760541675352128,0.882067890521249
2020-04-30,2.2206501196318436,1.0062237574819088,0.9754292980813368
2020-05-31,2.25669194517266,1.0261085137428902,1.0159085072541216
2020-06-30,2.385717695947839,1.0394791697686185,1.0466966348219937
2020-07-31,2.6224264093605636,1.0579903814657083,1.1004960960772512
2020-08-31,2.654615968801116,1.0713610374914377,1.16623991511305
2020-09-30,2.4263789451280786,1.0624497483696134,1.1269371952709029
2020-10-31,2.2896523634646564,1.057647925910485,1.0987213918327303
2020-11-30,2.1749376550632205,1.092961793871535,1.232861116022545
2020-12-31,2.3133576558235562,1.1164535004913492,1.2886945079850072
2021-01-31,2.2133340521704388,1.1178531014561797,1.2819349932363322
2021-02-28,2.365761600552254,1.1199487805604347,1.3103289430950769
2021-03-31,2.1867140866442614,1.111908519698638,1.3425114115445242
2021-04-30,2.3408169678281174,1.1185529019385942,1.3994189486911932
2021-05-31,2.4104175743291227,1.125193561835559,1.41860081650307
2021-06-30,2.3804748864750027,1.1279927637652225,1.4355893314466437
2021-07-31,2.4029568501300447,1.1241475834549282,1.4440437097753713
2021-08-31,2.369312905365946,1.125543462076768,1.4780606188055803
2021-09-30,2.3780956012573435,1.1105089187338064,1.414732539626246
2021-10-31,2.550526988304446,1.122398082248889,1.4859566891314675
2021-11-30,2.41572633005231,1.1056140376998882,1.4486696903703353
2021-12-31,2.519599599097352,1.114640719454452,1.5050986778002835
2022-01-31,2.67700866091748,1.0914989130758455,1.4304249824203692
2022-02-28,2.6588667543942646,1.0841361186385148,1.391821971938256
2022-03-31,2.7912792405215754,1.081333194365861,1.4188201517898984
2022-04-30,2.8453895989891205,1.0452190226616236,1.3033899722026299
2022-05-31,2.8587944062481774,1.0410090527381552,1.3016751690510484
2022-06-30,2.9250161437981324,1.005948304100533,1.1899338101968324
2022-07-31,2.8122925357233175,1.0248801405556716,1.2715803737407936
2022-08-31,2.7726401804167784,1.0129611982966555,1.2225090882054204
2022-09-30,2.9659577532927663,0.9726370566689491,1.1033980637137102
2022-10-31,2.867096943148682,0.9870127453024022,1.1692046316342257
2022-11-30,2.911009708646949,1.0262834638634935,1.2580234590575339
2022-12-31,2.7253585562224036,1.0179044697894635,1.207105769198482
2023-01-31,2.6588667543942632,1.0475901551472557,1.2928120295059535
2023-02-28,2.6289906773060845,1.0386453649385063,1.2542449102525945
2023-03-31,2.7530241538413733,1.0447276733867363,1.2896157161896915
2023-04-30,2.5584458900702067,1.050091569637592,1.3060359533446608
2023-05-31,2.602831783747089,1.043298293677972,1.2888440547714806
2023-06-30,2.573585338147783,1.0669016705875334,1.3615556963128403
2023-07-31,2.7308147276095984,1.087646288079568,1.4099450485018858
2023-08-31,2.5895911335939346,1.081210357047139,1.3681537005321227
2023-09-30,2.70472434046593,1.074056013817336,1.3096709372345827
2023-10-31,2.7299956063356463,1.0608230844822952,1.2694627912443037
2023-11-30,2.8650906776269713,1.095515321163752,1.384563967901327
2023-12-31,3.0285985864082234,1.1204252404633563,1.449598874403631
2024-01-31,2.8244114311494806,1.1159584288734694,1.4572596577854633
2024-02-29,3.0489583255820967,1.1334534409338601,1.5179636893514485
2024-03-31,3.1367900498243855,1.1498317500967803,1.5624329217776924
2024-04-30,2.8849281639116366,1.1360590810279616,1.5086459275754713
2024-05-31,2.9864936286527044,1.1513206872934096,1.5663271200975044
2024-06-30,3.2540487810116656,1.155043030284982,1.5991735762789008
2024-07-31,3.6266160644636734,1.168071230755486,1.6233901859021072
2024-08-31,3.6451590506447515,1.1770048539352604,1.6623261872287713
2024-09-30,3.775753629776746,1.1941276316964948,1.6984188056552558
2024-10-31,3.9125917254627494,1.187055180012507,1.6595765203147819
2024-11-30,3.8632160099249457,1.214228283850987,1.7197661109352913
2024-12-31,4.055605506680515,1.1691879336529585,1.677579959449234
2025-01-31,4.184553466610481,1.1881718829099792,1.7328285242446055
2025-02-28,4.260557412587125,1.1810994312259915,1.7206833312256726
2025-03-31,4.404382199484415,1.1654655906613862,1.64931162889113
